------- ELASTODYN V1.00.* TOWER INPUT FILE -------------------------------------
Generated with AeroElasticSE FAST driver
---------------------- TOWER PARAMETERS ----------------------------------------
60                     NTwInpSt    - Number of input stations to specify tower geometry
1.0                    TwrFADmp(1) - Tower 1st fore-aft mode structural damping ratio (%)
1.0                    TwrFADmp(2) - Tower 2nd fore-aft mode structural damping ratio (%)
1.0                    TwrSSDmp(1) - Tower 1st side-to-side mode structural damping ratio (%)
1.0                    TwrSSDmp(2) - Tower 2nd side-to-side mode structural damping ratio (%)
---------------------- TOWER ADJUSTMUNT FACTORS --------------------------------
1.0                    FAStTunr(1) - Tower fore-aft modal stiffness tuner, 1st mode (-)
1.0                    FAStTunr(2) - Tower fore-aft modal stiffness tuner, 2nd mode (-)
1.0                    SSStTunr(1) - Tower side-to-side stiffness tuner, 1st mode (-)
1.0                    SSStTunr(2) - Tower side-to-side stiffness tuner, 2nd mode (-)
1.0                    AdjTwMa     - Factor to adjust tower mass density (-)
1.0                    AdjFASt     - Factor to adjust tower fore-aft stiffness (-)
1.0                    AdjSSSt     - Factor to adjust tower side-to-side stiffness (-)
---------------------- DISTRIBUTED TOWER PROPERTIES ----------------------------
  HtFract       TMassDen         TwFAStif       TwSSStif
   (-)           (kg/m)           (Nm^2)         (Nm^2)
 0.000000000000000e+00  9.831067572287508e+03  1.070628483984904e+12  1.070628483984904e+12
 3.333576642335766e-02  9.831067572287508e+03  1.070628483984904e+12  1.070628483984904e+12
 3.334306569343065e-02  9.831067572287508e+03  1.070628483984904e+12  1.070628483984904e+12
 6.666423357664233e-02  9.831067572287508e+03  1.070628483984904e+12  1.070628483984904e+12
 6.667153284671533e-02  9.831067572287508e+03  1.070628483984904e+12  1.070628483984904e+12
 9.999999999999999e-02  9.831067572287508e+03  1.070628483984904e+12  1.070628483984904e+12
 1.000072992700730e-01  8.731389192213966e+03  9.530915438391978e+11  9.530915438391978e+11
 1.333357664233576e-01  8.731389192213966e+03  9.530915438391978e+11  9.530915438391978e+11
 1.333430656934307e-01  8.731389192213966e+03  9.530915438391978e+11  9.530915438391978e+11
 1.666642335766423e-01  8.731389192213966e+03  9.530915438391978e+11  9.530915438391978e+11
 1.666715328467153e-01  8.731389192213966e+03  9.530915438391978e+11  9.530915438391978e+11
 2.000000000000000e-01  8.731389192213966e+03  9.530915438391978e+11  9.530915438391978e+11
 2.000072992700730e-01  7.786724847650098e+03  8.516762846046732e+11  8.516762846046732e+11
 2.333357664233577e-01  7.786724847650098e+03  8.516762846046732e+11  8.516762846046732e+11
 2.333430656934307e-01  7.786724847650098e+03  8.516762846046732e+11  8.516762846046732e+11
 2.666642335766423e-01  7.786724847650098e+03  8.516762846046732e+11  8.516762846046732e+11
 2.666715328467153e-01  7.786724847650098e+03  8.516762846046732e+11  8.516762846046732e+11
 3.000000000000000e-01  7.786724847650098e+03  8.516762846046732e+11  8.516762846046732e+11
 3.000072992700730e-01  6.998035865948036e+03  7.666896937157963e+11  7.666896937157963e+11
 3.333357664233577e-01  6.998035865948036e+03  7.666896937157963e+11  7.666896937157963e+11
 3.333430656934306e-01  6.998035865948036e+03  7.666896937157963e+11  7.666896937157963e+11
 3.666642335766423e-01  6.998035865948036e+03  7.666896937157963e+11  7.666896937157963e+11
 3.666715328467153e-01  6.998035865948036e+03  7.666896937157963e+11  7.666896937157963e+11
 4.000000000000000e-01  6.998035865948036e+03  7.666896937157963e+11  7.666896937157963e+11
 4.000072992700730e-01  6.049846654426822e+03  6.641349485711464e+11  6.641349485711464e+11
 4.333357664233576e-01  6.049846654426822e+03  6.641349485711464e+11  6.641349485711464e+11
 4.333430656934307e-01  6.049846654426822e+03  6.641349485711464e+11  6.641349485711464e+11
 4.666642335766423e-01  6.049846654426822e+03  6.641349485711464e+11  6.641349485711464e+11
 4.666715328467153e-01  6.049846654426822e+03  6.641349485711464e+11  6.641349485711464e+11
 5.000000000000000e-01  6.049846654426822e+03  6.641349485711464e+11  6.641349485711464e+11
 5.000072992700730e-01  5.258220283593670e+03  5.781952463232017e+11  5.781952463232017e+11
 5.333357664233576e-01  5.258220283593670e+03  5.781952463232017e+11  5.781952463232017e+11
 5.333430656934306e-01  5.258220283593670e+03  5.781952463232017e+11  5.781952463232017e+11
 5.666642335766423e-01  5.258220283593670e+03  5.781952463232017e+11  5.781952463232017e+11
 5.666715328467153e-01  5.258220283593670e+03  5.781952463232017e+11  5.781952463232017e+11
 6.000000000000000e-01  5.258220283593670e+03  5.781952463232017e+11  5.781952463232017e+11
 6.000072992700729e-01  4.465258735882697e+03  4.918199662833226e+11  4.918199662833226e+11
 6.333357664233576e-01  4.465258735882697e+03  4.918199662833226e+11  4.918199662833226e+11
 6.333430656934307e-01  4.465258735882697e+03  4.918199662833226e+11  4.918199662833226e+11
 6.666642335766423e-01  4.465258735882697e+03  4.918199662833226e+11  4.918199662833226e+11
 6.666715328467153e-01  4.465258735882697e+03  4.918199662833226e+11  4.918199662833226e+11
 7.000000000000001e-01  4.465258735882697e+03  4.918199662833226e+11  4.918199662833226e+11
 7.000072992700730e-01  3.829928170361919e+03  4.224051389472901e+11  4.224051389472901e+11
 7.333357664233576e-01  3.829928170361919e+03  4.224051389472901e+11  4.224051389472901e+11
 7.333430656934307e-01  3.829928170361919e+03  4.224051389472901e+11  4.224051389472901e+11
 7.666642335766424e-01  3.829928170361919e+03  4.224051389472901e+11  4.224051389472901e+11
 7.666715328467154e-01  3.829928170361919e+03  4.224051389472901e+11  4.224051389472901e+11
 7.999999999999999e-01  3.829928170361919e+03  4.224051389472901e+11  4.224051389472901e+11
 8.000072992700730e-01  3.193743091639388e+03  3.527098480855082e+11  3.527098480855082e+11
 8.333357664233577e-01  3.174516544599435e+03  3.463781554618113e+11  3.463781554618113e+11
 8.333430656934308e-01  3.174516544599435e+03  3.463781554618113e+11  3.463781554618113e+11
 8.666642335766424e-01  3.154755926808344e+03  3.399500170412426e+11  3.399500170412426e+11
 8.666715328467153e-01  3.154755926808344e+03  3.399500170412426e+11  3.399500170412426e+11
 9.000000000000000e-01  3.135529379768391e+03  3.337724273098168e+11  3.337724273098168e+11
 9.000072992700731e-01  2.822937769143499e+03  3.007016198244482e+11  3.007016198244482e+11
 9.333357664233577e-01  2.765258128023592e+03  2.826435369084144e+11  2.826435369084144e+11
 9.333430656934306e-01  2.765258128023592e+03  2.826435369084144e+11  2.826435369084144e+11
 9.666642335766423e-01  2.707097823227667e+03  2.651820111833447e+11  2.651820111833447e+11
 9.666715328467154e-01  2.707097823227667e+03  2.651820111833447e+11  2.651820111833447e+11
 1.000000000000000e+00  2.649418182107783e+03  2.485901655686259e+11  2.485901655686259e+11
---------------------- TOWER FORE-AFT MODE SHAPES ------------------------------
1.0622816885314696     TwFAM1Sh(2) - Mode 1, coefficient of x^2 term
0.22356252191420628    TwFAM1Sh(3) -       , coefficient of x^3 term
-0.5480660958383774    TwFAM1Sh(4) -       , coefficient of x^4 term
0.460409910378353      TwFAM1Sh(5) -       , coefficient of x^5 term
-0.19818802498565152   TwFAM1Sh(6) -       , coefficient of x^6 term
-57.60621431380229     TwFAM2Sh(2) - Mode 2, coefficient of x^2 term
33.25585601292627      TwFAM2Sh(3) -       , coefficient of x^3 term
50.42713711125316      TwFAM2Sh(4) -       , coefficient of x^4 term
-28.812202556795025    TwFAM2Sh(5) -       , coefficient of x^5 term
3.735423746417882      TwFAM2Sh(6) -       , coefficient of x^6 term
---------------------- TOWER SIDE-TO-SIDE MODE SHAPES --------------------------
1.0537686395277812     TwSSM1Sh(2) - Mode 1, coefficient of x^2 term
0.22585548650804152    TwSSM1Sh(3) -       , coefficient of x^3 term
-0.5400941978067796    TwSSM1Sh(4) -       , coefficient of x^4 term
0.4545372427683675     TwSSM1Sh(5) -       , coefficient of x^5 term
-0.1940671709974106    TwSSM1Sh(6) -       , coefficient of x^6 term
-531.2965594947149     TwSSM2Sh(2) - Mode 2, coefficient of x^2 term
264.57487553402166     TwSSM2Sh(3) -       , coefficient of x^3 term
448.43172462086244     TwSSM2Sh(4) -       , coefficient of x^4 term
-257.7982295275658     TwSSM2Sh(5) -       , coefficient of x^5 term
77.08818886739664      TwSSM2Sh(6) -       , coefficient of x^6 term
