                   201   NumCoords   ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
 0.489943       0
! coordinates of airfoil shape
! interpolation to 200 points
!  x/c        y/c
 1.00000000000000e+00 -9.36854375560609e-03
 9.72825153797198e-01 -1.27859749638394e-02
 9.46043757737156e-01 -1.82656043086941e-02
 9.19914575746643e-01 -2.59743201296261e-02
 8.94445259017330e-01 -3.53141296994054e-02
 8.69597922399494e-01 -4.59095371789329e-02
 8.45257254487463e-01 -5.73077413317450e-02
 8.21289997509083e-01 -6.92768465552357e-02
 7.97654425460791e-01 -8.15319443693471e-02
 7.74448475986643e-01 -9.41393158687118e-02
 7.51482279917994e-01 -1.06650440252848e-01
 7.28810918554120e-01 -1.19127768097855e-01
 7.06340973158942e-01 -1.31342014499772e-01
 6.83992888488707e-01 -1.43084337535471e-01
 6.61840975602722e-01 -1.54466170319944e-01
 6.39787595405998e-01 -1.65222828964358e-01
 6.17867789157644e-01 -1.75375296294244e-01
 5.96089064546322e-01 -1.84877996776253e-01
 5.74387320733133e-01 -1.93731265945259e-01
 5.52832048421439e-01 -2.01946160514996e-01
 5.31437537280908e-01 -2.09370125910231e-01
 5.10238678273973e-01 -2.16010829881653e-01
 4.89314638675477e-01 -2.22025955182762e-01
 4.68610856663839e-01 -2.27125770902720e-01
 4.48244452579211e-01 -2.31638315146135e-01
 4.28167676952731e-01 -2.35247350912156e-01
 4.08456233776293e-01 -2.38168228944736e-01
 3.89141576785379e-01 -2.40475912510986e-01
 3.70236835528267e-01 -2.42077801027682e-01
 3.51765385189406e-01 -2.42937472588347e-01
 3.33760498625497e-01 -2.43393256620794e-01
 3.16234227506710e-01 -2.43074265403230e-01
 2.99203700030649e-01 -2.42289100011907e-01
 2.82676827978728e-01 -2.41057614875090e-01
 2.66678757391116e-01 -2.39332834896571e-01
 2.51214685921246e-01 -2.37100242269131e-01
 2.36300241065874e-01 -2.34433445903400e-01
 2.21901893200885e-01 -2.31507091482252e-01
 2.08065184853121e-01 -2.28173668907802e-01
 1.94780892664267e-01 -2.24504483315901e-01
 1.82031952596679e-01 -2.20587796765472e-01
 1.69856037352699e-01 -2.16323734690626e-01
 1.58195412436443e-01 -2.11906526904783e-01
 1.47101754791770e-01 -2.07203176040465e-01
 1.36525494666542e-01 -2.02352101953375e-01
 1.26487007453525e-01 -1.97314580699721e-01
 1.17000541248081e-01 -1.92083381150983e-01
 1.07981474762427e-01 -1.86800907682374e-01
 9.95275571818023e-02 -1.81329433035512e-01
 9.15385344935701e-02 -1.75817699709287e-01
 8.40678121232076e-02 -1.70201665889853e-01
 7.70802803001550e-02 -1.64531174451964e-01
 7.05279101338592e-02 -1.58864045022439e-01
 6.44699355133206e-02 -1.53140062923288e-01
 5.88017494613217e-02 -1.47465309530470e-01
 5.35155087381586e-02 -1.41843820549129e-01
 4.86177108597020e-02 -1.36267582560178e-01
 4.40493242506992e-02 -1.30782931332461e-01
 3.99284806061799e-02 -1.25302081496034e-01
 3.61175101567657e-02 -1.19923963237210e-01
 3.25377756765762e-02 -1.14691438099286e-01
 2.93507815215691e-02 -1.09509656288818e-01
 2.64536825673661e-02 -1.04433414480180e-01
 2.38085382756691e-02 -9.94820530471683e-02
 2.13801723400536e-02 -9.46660789896158e-02
 1.91115559064444e-02 -9.00069571489979e-02
 1.70915336967447e-02 -8.54618341318555e-02
 1.52476391849162e-02 -8.10564676578050e-02
 1.35490916038010e-02 -7.67970094797671e-02
 1.19834618992739e-02 -7.26834366747303e-02
 1.06002367542540e-02 -6.86955622120135e-02
 9.35672952452160e-03 -6.48427216805083e-02
 8.24108598263088e-03 -6.11237277255417e-02
 7.26236666786929e-03 -5.75322702136303e-02
 6.39879551911485e-03 -5.40703974373771e-02
 5.63185222765816e-03 -5.07356919509666e-02
 4.97048427719631e-03 -4.75241117772508e-02
 4.39725205709915e-03 -4.44330608556918e-02
 3.86629726196796e-03 -4.14667968627229e-02
 3.36947473326333e-03 -3.86211422058642e-02
 2.95793386385111e-03 -3.58863516424576e-02
 2.62233674489821e-03 -3.32574389793632e-02
 2.31933784919531e-03 -3.07365929497826e-02
 2.01863256908935e-03 -2.83239398236449e-02
 1.72714036500550e-03 -2.60142193523367e-02
 1.46868670612993e-03 -2.38013414873362e-02
 1.25062346649047e-03 -2.16800536788276e-02
 1.05797430890493e-03 -1.96477597504585e-02
 8.78378627130305e-04 -1.77023483231637e-02
 7.09978527582360e-04 -1.58401027582700e-02
 5.75792569168906e-04 -1.40565908534924e-02
 4.80112811804483e-04 -1.23478432850596e-02
 3.98370063351182e-04 -1.07123160965058e-02
 3.08502317884677e-04 -9.14872728330784e-03
 1.72995333043521e-04 -7.65594123072468e-03
 7.56926506790904e-05 -6.22875297052465e-03
 4.74693274075689e-05 -4.86298219853873e-03
 2.64213677383955e-05 -3.56002679331676e-03
 1.16836322178398e-05 -2.32860937756272e-03
 2.47251190902940e-06 -1.20791240849774e-03
 0.00000000000000e+00  0.00000000000000e+00
 2.09334379397335e-05  1.26117294661730e-03
 7.83566700274396e-05  2.57823419283797e-03
 1.75857063947926e-04  3.95176732819161e-03
 2.91669768556287e-04  5.38644254457066e-03
 3.75825555135976e-04  6.88754965383338e-03
 4.50464918181877e-04  8.45684318673478e-03
 5.33487903315290e-04  1.00955937701491e-02
 6.49591822308877e-04  1.18047293950391e-02
 8.20910331048177e-04  1.35867887055685e-02
 1.00561495964885e-03  1.54477332360319e-02
 1.18400052126108e-03  1.73924746355960e-02
 1.37782593512427e-03  1.94223971674045e-02
 1.61250242581461e-03  2.15382634085184e-02
 1.89349277385427e-03  2.37374042552784e-02
 2.18594038419636e-03  2.60280385146597e-02
 2.46034605250383e-03  2.84224849342761e-02
 2.73671512923511e-03  3.09228728354196e-02
 3.05040027812433e-03  3.35287342819778e-02
 3.44208408645527e-03  3.62392975683422e-02
 3.89810324514786e-03  3.90615358528907e-02
 4.36744195491207e-03  4.20053825947979e-02
 4.85858401567170e-03  4.50749306083213e-02
 5.43152579443283e-03  4.82629441334087e-02
 6.12441192492842e-03  5.15707187728091e-02
 6.91035043035847e-03  5.50036553970013e-02
 7.79843412332153e-03  5.85679325314175e-02
 8.81615118924954e-03  6.22586777383436e-02
 9.98009876740156e-03  6.60774884259512e-02
 1.12825482244513e-02  7.00296499418248e-02
 1.27382729386977e-02  7.41138459910398e-02
 1.43404691263653e-02  7.83380447853287e-02
 1.60612083957613e-02  8.27153979595123e-02
 1.79629604724998e-02  8.72287113221183e-02
 2.00666645890759e-02  9.18736737338409e-02
 2.23543052845034e-02  9.66637508153136e-02
 2.47864741569674e-02  1.01619665885835e-01
 2.74809958196135e-02  1.06695382588545e-01
 3.04610000858708e-02  1.11879724503931e-01
 3.37166021456473e-02  1.17181311050410e-01
 3.72579961024749e-02  1.22595787928420e-01
 4.10867949846101e-02  1.28126625124419e-01
